duration,start_date,end_date,optimum_return_pct,simple_return_pct,outperformance_pct,optimum_btc,optimum_investment,optimum_value
1-Year,2022-12-16,2023-12-15,52535.53363901396,58.52055674364108,52477.013082270314,0.1072188275177999,8.550958548825065,4500.842663424956
1-Year,2020-12-25,2021-12-24,8350.643183609083,14.102426675533444,8336.54075693355,0.0567236232659191,34.158446897607064,2886.60846437936
1-Year,2020-01-17,2021-01-15,3600.175154503439,254.3961829927579,3345.7789715106815,1.0703607523522225,1061.9304247386085,39293.28573429084
1-Year,2020-01-10,2021-01-08,1651.1863921050758,301.0712279329128,1350.115164172163,1.1645166851934807,2711.512255891783,47483.633645438254
1-Year,2020-01-03,2021-01-01,740.5965016524848,194.49064226648105,546.1058593860038,1.2671878645814512,4429.0993060094115,37230.8538210296
1-Year,2019-12-27,2020-12-25,454.2780645717193,152.0733801537125,302.2046844180068,1.381442003353565,6148.360541343427,34079.01381144963
1-Year,2022-12-09,2023-12-08,357.9205539869695,69.81097936956449,288.109574617405,0.1618749000509519,1562.648365135616,7155.688050497335
1-Year,2023-12-22,2024-12-20,274.46433383136747,57.87304542470587,216.5912884066616,0.0456472345724514,1189.9574350514415,4455.966182042209
1-Year,2019-12-20,2020-12-18,339.86887020814885,139.63728240460412,200.23158780354473,1.503304890580675,7877.191585170362,34649.31362982024
1-Year,2021-01-01,2021-12-31,195.20400698971565,2.3955091000571533,192.8084978896585,0.1116632890022523,1753.4196822316228,5176.16516129409
1-Year,2018-08-10,2019-08-09,304.2882952104863,122.96332019678955,181.32497501369676,3.945941792708986,11573.9980485438,46792.31939815268
1-Year,2018-07-20,2019-07-19,264.05010484186084,100.24316719564725,163.8069376462136,4.000603105725169,11573.9980485438,42135.152030118625
1-Year,2018-08-03,2019-08-02,261.6962061677276,99.18622022397273,162.50998594375488,3.9756832198772942,11573.9980485438,41862.71184350975
1-Year,2018-07-13,2019-07-12,284.66100244790266,125.90651824236728,158.7544842055354,4.131258896486938,12687.504851406642,48803.88334704707
1-Year,2018-08-17,2019-08-16,250.44357167243984,93.61014218387412,156.83342948856574,3.9100627520037343,11573.9980485438,40560.33214661538
1-Year,2018-08-24,2019-08-23,248.78392944503153,93.01934064430765,155.7645888007239,3.876291771341881,11573.9980485438,40368.24518760233
1-Year,2018-09-07,2019-09-06,241.9268251503107,89.66490375790924,152.26192139240146,3.83072100266142,11573.9980485438,39574.60407034473
1-Year,2018-07-27,2019-07-26,238.62088273511227,86.40169147679856,152.2191912583137,3.9842604084422297,11573.9980485438,39191.97435972368
1-Year,2018-09-14,2019-09-13,239.6326347619914,88.69617029894724,150.93646446304416,3.799688992297091,11573.998048543805,39309.074519570786
1-Year,2018-09-21,2019-09-20,231.14367949464287,84.28204935543778,146.8616301392051,3.768542093619856,11573.998048543805,38326.56300258611
2-Year,2019-02-22,2021-02-19,16763.84465280349,527.4843294634121,16236.36032334008,1.7701117077722277,585.9193002425661,98808.52058369962
2-Year,2019-05-24,2021-05-21,4618.128448656676,228.59426469474724,4389.534183961929,2.1048966830050526,1658.4568385842415,78248.12390993522
2-Year,2019-02-15,2021-02-12,4086.257375798928,445.1061359892394,3641.151239809688,1.9222277277617232,2182.2422328312814,91354.27642969872
2-Year,2019-05-31,2021-05-28,1826.666963157827,211.6532630337359,1615.0137001240912,2.272089089775845,4197.867129628061,80878.91914380562
2-Year,2019-02-08,2021-02-05,1837.2732759177295,345.76951651137364,1491.503759406356,2.0924188153837373,4109.225720118244,79606.93172298861
2-Year,2019-06-07,2021-06-04,1295.2916372380837,219.53811024274955,1075.753526995334,2.412696943928148,6377.935938458596,88990.80677771507
2-Year,2019-11-22,2021-11-19,1290.0771778716696,294.760565609679,995.3166122619906,2.0939586281276847,8739.015672158477,121479.06242930348
2-Year,2019-11-15,2021-11-12,1312.983945351266,342.5922033603016,970.3917419909644,2.1640776220002245,9814.11469493732,138671.86501782373
2-Year,2019-02-01,2021-01-29,1263.752590815309,308.96860500659665,954.7839858087124,2.271180998529239,5689.9991388107055,77597.51067289976
2-Year,2019-12-06,2021-12-03,1204.0121645844877,252.73766965594967,951.274494928538,1.7731771623368568,7298.190418334554,95169.29084962208
2-Year,2019-11-29,2021-11-26,1207.689696723636,259.7610936976118,947.928603026024,1.908562279923366,7852.1559224451985,102681.83396849064
2-Year,2019-12-27,2021-12-24,1083.770089703536,217.0471402895209,866.7229494140151,1.4381656266194844,6182.518988241027,73186.81057303895
2-Year,2019-12-13,2021-12-10,1052.3437773172284,206.4528710067688,845.8909063104596,1.64098871611755,6755.27222745121,77843.95915387293
2-Year,2022-12-16,2024-12-13,1013.75524597883,174.51914345921412,839.236102519616,0.1384314600176673,1258.9568236065793,14021.697667526723
2-Year,2019-12-20,2021-12-17,1021.0224944367178,193.80780493273656,827.2146895039813,1.495806763796708,6182.518988241028,69307.4285810033
2-Year,2023-01-27,2025-01-24,983.5213759823216,156.80651703924545,826.7148589430763,0.0805328798379009,778.3040460466932,8433.090709051212
2-Year,2019-11-08,2021-11-05,1118.0144821534625,327.22990694751763,790.7845752059446,2.23445271693266,11191.547139550705,136314.66493675913
2-Year,2019-06-14,2021-06-11,996.8049012617658,218.73297531374237,778.0719259480235,2.532189872284192,8584.97877303571,94160.46795493786
2-Year,2020-01-03,2021-12-31,933.8312071192812,183.51273866271956,750.3184684565617,1.3788511535837034,6182.518988241029,63916.810686511
2-Year,2019-11-01,2021-10-29,1066.313910789523,341.1822946363407,725.1316161531824,2.296759962060684,12254.7824811462,142929.2328146056
3-Year,2018-04-20,2021-04-16,1843.8596415246384,685.431825390323,1158.4278161343157,7.76117791913158,24583.27387329342,477864.3393884216
3-Year,2018-05-04,2021-04-30,1701.359477552057,629.7729305098591,1071.5865470421977,7.669242987517277,24583.273873293423,442833.1338091496
3-Year,2018-05-11,2021-05-07,1678.419123630894,621.4192682599814,1056.9998553709124,7.624441674653219,24583.273873293427,437193.6437772074
3-Year,2018-04-13,2021-04-09,1673.0308179966155,644.5404808304413,1028.4903371661742,7.83269747819605,25645.458022586405,454701.8741568424
3-Year,2018-11-16,2021-11-12,1578.9923862507133,568.7114332603347,1010.2809529903784,5.9120433587116406,22563.392908978505,378837.6490215825
3-Year,2018-04-06,2021-04-02,1649.6727438816151,662.079390297965,987.59335358365,7.91651048322912,26709.207634412003,467323.7260860543
3-Year,2018-11-23,2021-11-19,1482.4196682002776,498.2428184903592,984.1768497099184,5.5949905534901685,20512.142268092444,324588.17361951736
3-Year,2018-04-27,2021-04-23,1498.9487629897967,546.9342655067563,952.0144974830404,7.7141526400384,24583.273873293423,393073.9534994191
3-Year,2018-05-18,2021-05-14,1440.7485676424387,525.9042667934531,914.8443008489857,7.575722739230167,24583.273873293427,378766.4400823864
3-Year,2018-11-09,2021-11-05,1429.9706579928234,542.2491156689887,887.7215423238347,6.00413998383208,23940.825353591885,366287.60319126246
3-Year,2018-11-30,2021-11-26,1333.0762219143598,446.08502035513703,886.9912015592229,5.1236359139558765,19235.179860626133,275654.78882509284
3-Year,2018-03-23,2021-03-19,1526.2856038802672,659.4654207423617,866.8201831379055,8.069385270951845,28862.14879151798,469380.9707669594
3-Year,2018-03-30,2021-03-26,1477.4921621146525,612.0680144182264,865.4241476964258,7.997726016591271,27792.101642403835,438418.225095858
3-Year,2018-12-07,2021-12-03,1295.7322545236516,436.41932040774014,859.3129341159115,4.786989421137276,18407.934352924,256925.4771552999
3-Year,2018-11-02,2021-10-29,1416.0568312158116,560.722399144772,855.3344320710396,6.091448436083927,25004.060695187374,379075.770250736
3-Year,2018-03-16,2021-03-12,1444.7368174205997,652.2334267826735,792.5033906379261,8.14332618201684,30224.868714408607,466894.67504851
3-Year,2018-10-26,2021-10-22,1340.577879098024,550.6105770031387,789.9673020948854,6.180140333697115,26062.42435454446,375449.5200082234
3-Year,2018-10-19,2021-10-15,1305.2746879722913,563.5660445394615,741.7086434328298,6.272083190716961,27424.882039222262,385394.9255034496
3-Year,2018-12-14,2021-12-10,1085.5537015005125,365.8035665752683,719.7501349252442,4.310733172860935,17248.416561039732,204489.24098963395
3-Year,2018-12-28,2021-12-24,1083.894468966856,383.6927400953295,700.2017288715265,3.676843832476273,15804.694649360965,187110.90579088507
4-Year,2017-04-21,2021-04-16,2309.6381105189166,859.4126370960332,1450.2254734228834,1.327443778799322,3391.8863818794625,81732.18692326873
4-Year,2017-04-07,2021-04-02,2230.7213407562076,866.1178784017725,1364.6034623544351,2.1785817107806644,5517.8201429980445,128605.01161740012
4-Year,2017-04-14,2021-04-09,2189.093630545001,827.5235480918232,1361.5700824531775,1.7563265063634654,4454.070531172447,101957.84482905036
4-Year,2017-03-24,2021-03-19,2262.444675395174,902.2336557726704,1360.211019622503,3.115409126108611,7670.7613001040145,181217.49189658085
4-Year,2017-03-17,2021-03-12,2192.87535347647,913.943432844834,1278.931920631636,3.6125885594288016,9033.481222994642,207126.46452296895
4-Year,2017-03-31,2021-03-26,2080.4495879709725,819.7226953764095,1260.726892594563,2.6255173862752073,6600.714150989868,143925.24450840024
4-Year,2017-05-12,2021-05-07,1931.528962786396,737.5138684461942,1194.0150943402016,2.3069763536282464,6511.573056792842,132284.49258174203
4-Year,2017-05-19,2021-05-14,1714.6851115114596,616.8441560605579,1097.8409554509017,2.935449828644015,8087.621281049975,146764.85926264626
4-Year,2017-05-05,2021-04-30,1797.5447737301115,759.3507292126346,1038.194044517477,1.5751407333424154,4793.082904023378,90950.89414584708
4-Year,2017-11-17,2021-11-12,1347.2251232118654,601.382416661357,745.8427065505084,8.229478338278511,36437.76542407353,527336.4955541986
4-Year,2017-05-26,2021-05-21,1161.960047758561,424.8058480451288,737.1541997134318,3.560441237954696,10488.209809844871,132357.0175253364
4-Year,2017-03-10,2021-03-05,1499.132870544148,781.5054032756558,717.6274672684921,2.967827694260995,9056.935028129508,144832.42509864585
4-Year,2017-11-03,2021-10-29,1277.5044142018498,589.0927626853725,688.4116515164774,7.991556926284179,36103.046607798446,497321.0606837747
4-Year,2017-11-10,2021-11-05,1254.0874385762795,571.8097406608266,682.2776979154531,8.152943961741052,36731.54189967931,497377.19485894067
4-Year,2017-11-24,2021-11-19,1207.516440679047,532.063318533899,675.4531221451481,8.379927165377731,37181.458377276365,486153.6811671253
4-Year,2017-10-27,2021-10-22,1233.4393658931283,577.0158542921466,656.4235116009819,7.864910805357186,35832.22249246425,477800.9603889303
4-Year,2017-10-20,2021-10-15,1225.6278585864295,589.3025962665395,636.3252623198903,7.739641273409371,35875.12240157159,475570.6168572141
4-Year,2017-04-28,2021-04-23,1310.1824720093198,674.942863176537,635.2396088327828,0.9387081093408892,3391.8863818794553,47831.78722773518
4-Year,2017-06-02,2021-05-28,1020.8038924607432,395.48652044060384,625.3173720201394,4.097835418809653,13014.721040019864,145869.50000944996
4-Year,2017-12-01,2021-11-26,1077.4030191958336,483.9583798213761,593.4446393744574,8.514841284857575,38907.98077278748,458103.74032693414
